CustomerID,CustomerName,CustomerSegment,RegionID
C0001,Aarav Sharma 1,Enterprise,R02
C0002,Vivaan Sharma 2,Enterprise,R01
C0003,Aditya Sharma 3,SMB,R04
C0004,Arjun Sharma 4,Consumer,R02
C0005,Rohan Sharma 5,SMB,R02
C0006,Kabir Sharma 6,Enterprise,R01
C0007,Ishaan Sharma 7,SMB,R01
C0008,Rahul Sharma 8,SMB,R02
C0009,Ananya Sharma 9,Consumer,R04
C0010,Diya Sharma 10,SMB,R04
C0011,Isha Sharma 11,Consumer,R02
C0012,Meera Sharma 12,SMB,R03
C0013,Priya Sharma 13,Enterprise,R01
C0014,Kavya Sharma 14,Enterprise,R04
C0015,Neha Sharma 15,SMB,R04
C0016,Aditi Sharma 16,Consumer,R02
C0017,Aarav Verma 17,SMB,R01
C0018,Vivaan Verma 18,Enterprise,R03
C0019,Aditya Verma 19,SMB,R03
C0020,Arjun Verma 20,Consumer,R03
C0021,Rohan Verma 21,SMB,R03
C0022,Kabir Verma 22,SMB,R01
C0023,Ishaan Verma 23,SMB,R01
C0024,Rahul Verma 24,SMB,R04
C0025,Ananya Verma 25,Enterprise,R01
C0026,Diya Verma 26,SMB,R02
C0027,Isha Verma 27,SMB,R03
C0028,Meera Verma 28,Consumer,R03
C0029,Priya Verma 29,SMB,R04
C0030,Kavya Verma 30,Enterprise,R01
C0031,Neha Verma 31,Enterprise,R04
C0032,Aditi Verma 32,SMB,R01
C0033,Aarav Patel 33,SMB,R01
C0034,Vivaan Patel 34,SMB,R02
C0035,Aditya Patel 35,SMB,R02
C0036,Arjun Patel 36,SMB,R02
C0037,Rohan Patel 37,Enterprise,R01
C0038,Kabir Patel 38,Consumer,R04
C0039,Ishaan Patel 39,SMB,R02
C0040,Rahul Patel 40,Consumer,R04
C0041,Ananya Patel 41,Consumer,R02
C0042,Diya Patel 42,SMB,R01
C0043,Isha Patel 43,Consumer,R02
C0044,Meera Patel 44,Enterprise,R02
C0045,Priya Patel 45,SMB,R01
C0046,Kavya Patel 46,Consumer,R04
C0047,Neha Patel 47,Consumer,R02
C0048,Aditi Patel 48,SMB,R03
C0049,Aarav Mehta 49,SMB,R01
C0050,Vivaan Mehta 50,SMB,R01
C0051,Aditya Mehta 51,SMB,R02
C0052,Arjun Mehta 52,Enterprise,R01
C0053,Rohan Mehta 53,SMB,R01
C0054,Kabir Mehta 54,Consumer,R03
C0055,Ishaan Mehta 55,SMB,R03
C0056,Rahul Mehta 56,Enterprise,R04
C0057,Ananya Mehta 57,SMB,R04
C0058,Diya Mehta 58,Enterprise,R02
C0059,Isha Mehta 59,SMB,R04
C0060,Meera Mehta 60,SMB,R02
C0061,Priya Mehta 61,SMB,R02
C0062,Kavya Mehta 62,SMB,R02
C0063,Neha Mehta 63,Enterprise,R04
C0064,Aditi Mehta 64,Consumer,R01
C0065,Aarav Singh 65,SMB,R01
C0066,Vivaan Singh 66,SMB,R02
C0067,Aditya Singh 67,SMB,R04
C0068,Arjun Singh 68,Consumer,R01
C0069,Rohan Singh 69,Consumer,R01
C0070,Kabir Singh 70,Enterprise,R03
C0071,Ishaan Singh 71,SMB,R04
C0072,Rahul Singh 72,Consumer,R02
C0073,Ananya Singh 73,Consumer,R02
C0074,Diya Singh 74,SMB,R02
C0075,Isha Singh 75,Consumer,R01
C0076,Meera Singh 76,Enterprise,R02
C0077,Priya Singh 77,Consumer,R04
C0078,Kavya Singh 78,Consumer,R04
C0079,Neha Singh 79,Consumer,R03
C0080,Aditi Singh 80,SMB,R04
C0081,Aarav Kapoor 81,SMB,R02
C0082,Vivaan Kapoor 82,Enterprise,R04
C0083,Aditya Kapoor 83,SMB,R04
C0084,Arjun Kapoor 84,Enterprise,R01
C0085,Rohan Kapoor 85,Consumer,R01
C0086,Kabir Kapoor 86,Enterprise,R03
C0087,Ishaan Kapoor 87,Consumer,R01
C0088,Rahul Kapoor 88,SMB,R04
C0089,Ananya Kapoor 89,Consumer,R03
C0090,Diya Kapoor 90,Enterprise,R01
C0091,Isha Kapoor 91,Enterprise,R01
C0092,Meera Kapoor 92,SMB,R01
C0093,Priya Kapoor 93,SMB,R03
C0094,Kavya Kapoor 94,SMB,R01
C0095,Neha Kapoor 95,Consumer,R04
C0096,Aditi Kapoor 96,Consumer,R01
C0097,Aarav Iyer 97,Enterprise,R04
C0098,Vivaan Iyer 98,SMB,R02
C0099,Aditya Iyer 99,SMB,R03
C0100,Arjun Iyer 100,Consumer,R02
C0101,Rohan Iyer 101,Consumer,R01
C0102,Kabir Iyer 102,SMB,R03
C0103,Ishaan Iyer 103,Enterprise,R01
C0104,Rahul Iyer 104,SMB,R04
C0105,Ananya Iyer 105,SMB,R04
C0106,Diya Iyer 106,Consumer,R02
C0107,Isha Iyer 107,Consumer,R01
C0108,Meera Iyer 108,Enterprise,R04
C0109,Priya Iyer 109,Consumer,R01
C0110,Kavya Iyer 110,SMB,R03
C0111,Neha Iyer 111,Consumer,R03
C0112,Aditi Iyer 112,SMB,R02
C0113,Aarav Reddy 113,SMB,R03
C0114,Vivaan Reddy 114,Consumer,R02
C0115,Aditya Reddy 115,Enterprise,R01
C0116,Arjun Reddy 116,Consumer,R04
C0117,Rohan Reddy 117,Enterprise,R01
C0118,Kabir Reddy 118,SMB,R01
C0119,Ishaan Reddy 119,Consumer,R02
C0120,Rahul Reddy 120,Enterprise,R04
C0121,Ananya Reddy 121,Enterprise,R02
C0122,Diya Reddy 122,Enterprise,R01
C0123,Isha Reddy 123,Enterprise,R01
C0124,Meera Reddy 124,Enterprise,R01
C0125,Priya Reddy 125,SMB,R03
C0126,Kavya Reddy 126,SMB,R02
C0127,Neha Reddy 127,SMB,R04
C0128,Aditi Reddy 128,Consumer,R01
C0129,Aarav Nair 129,Enterprise,R01
C0130,Vivaan Nair 130,Enterprise,R03
C0131,Aditya Nair 131,SMB,R01
C0132,Arjun Nair 132,SMB,R03
C0133,Rohan Nair 133,Enterprise,R04
C0134,Kabir Nair 134,Enterprise,R04
C0135,Ishaan Nair 135,Enterprise,R04
C0136,Rahul Nair 136,Consumer,R04
C0137,Ananya Nair 137,Consumer,R04
C0138,Diya Nair 138,SMB,R04
C0139,Isha Nair 139,Enterprise,R03
C0140,Meera Nair 140,SMB,R04
C0141,Priya Nair 141,SMB,R02
C0142,Kavya Nair 142,SMB,R02
C0143,Neha Nair 143,Enterprise,R02
C0144,Aditi Nair 144,SMB,R01
C0145,Aarav Gupta 145,SMB,R02
C0146,Vivaan Gupta 146,SMB,R02
C0147,Aditya Gupta 147,SMB,R02
C0148,Arjun Gupta 148,Consumer,R04
C0149,Rohan Gupta 149,SMB,R02
C0150,Kabir Gupta 150,SMB,R04
C0151,Ishaan Gupta 151,SMB,R04
C0152,Rahul Gupta 152,SMB,R03
C0153,Ananya Gupta 153,SMB,R04
C0154,Diya Gupta 154,Enterprise,R03
C0155,Isha Gupta 155,Consumer,R01
C0156,Meera Gupta 156,SMB,R01
C0157,Priya Gupta 157,Consumer,R01
C0158,Kavya Gupta 158,Consumer,R01
C0159,Neha Gupta 159,Consumer,R04
C0160,Aditi Gupta 160,SMB,R04
C0161,Aarav Joshi 161,Consumer,R04
C0162,Vivaan Joshi 162,SMB,R03
C0163,Aditya Joshi 163,Enterprise,R03
C0164,Arjun Joshi 164,Enterprise,R03
C0165,Rohan Joshi 165,SMB,R02
C0166,Kabir Joshi 166,SMB,R04
C0167,Ishaan Joshi 167,Consumer,R02
C0168,Rahul Joshi 168,SMB,R04
C0169,Ananya Joshi 169,Enterprise,R01
C0170,Diya Joshi 170,Enterprise,R03
C0171,Isha Joshi 171,SMB,R04
C0172,Meera Joshi 172,SMB,R02
C0173,Priya Joshi 173,Consumer,R04
C0174,Kavya Joshi 174,SMB,R02
C0175,Neha Joshi 175,SMB,R01
C0176,Aditi Joshi 176,Enterprise,R04
C0177,Aarav Malhotra 177,SMB,R02
C0178,Vivaan Malhotra 178,Consumer,R03
C0179,Aditya Malhotra 179,Consumer,R04
C0180,Arjun Malhotra 180,SMB,R02
C0181,Rohan Malhotra 181,Consumer,R04
